Reaction_id,Condition1,Condition2
EX_cm_e,0.0,-0.0
EX_cmp_e,0.0,0.0
EX_co2_e,0.0,37.67590757146877
EX_cobalt2_e,0.0,0.0
DM_4crsol_c,0.0,0.0001404899998078
DM_5drib_c,0.0,0.0001417499998061
DM_aacald_c,0.0,0.0
DM_amob_c,0.0,1.2599999982768523e-06
DM_mththf_c,0.0,0.000282239999614
EX_colipa_e,0.0,0.0
DM_oxam_c,0.0,0.0
EX_glc__D_e,0.0,0.0
EX_glcn_e,0.0,0.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_glcr_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
BIOMASS_Ec_iJO1366_core_53p95M,0.0,0.63
EX_12ppd__R_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_glu__L_e,0.0,0.0
EX_gly_e,0.0,-0.0
EX_glyald_e,0.0,0.0
EX_glyb_e,0.0,-0.0
EX_glyc_e,0.0,0.0
EX_12ppd__S_e,0.0,0.0
EX_14glucan_e,0.0,-0.0
EX_cpgn_un_e,0.0,0.0
EX_15dap_e,0.0,0.0
EX_glyc__R_e,0.0,0.0
EX_glyc2p_e,0.0,0.0
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_glyc3p_e,0.0,0.0
EX_glyclt_e,0.0,0.0
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_gthox_e,0.0,-0.0
EX_gthrd_e,0.0,0.0
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,0.0
EX_h_e,0.0,49.78904196820645
EX_h2_e,0.0,0.0
EX_h2o_e,0.0,16.756174153148436
EX_h2o2_e,0.0,-0.0
EX_h2s_e,0.0,0.0
EX_hacolipa_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_hdca_e,0.0,-0.0
EX_hdcea_e,0.0,-0.0
EX_hg2_e,0.0,-0.0
EX_his__L_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,0.0
EX_3hpppn_e,0.0,0.0
EX_hom__L_e,0.0,0.0
EX_hxa_e,0.0,0.0
EX_hxan_e,0.0,0.0
EX_idon__L_e,0.0,6.794195513290135
EX_3ump_e,0.0,0.0
EX_4abut_e,0.0,0.0
EX_4hoxpacd_e,0.0,0.0
EX_5dglcn_e,0.0,0.0
EX_5mtr_e,0.0,0.0
EX_LalaDglu_e,0.0,0.0
EX_ile__L_e,0.0,0.0
EX_imp_e,0.0,0.0
EX_indole_e,0.0,0.0
EX_inost_e,0.0,0.0
EX_ins_e,0.0,0.0
EX_isetac_e,0.0,0.0
EX_k_e,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.0
EX_LalaDgluMdapDala_e,0.0,0.0
EX_LalaLglu_e,0.0,0.0
EX_kdo2lipid4_e,0.0,0.0
EX_ac_e,0.0,64.91197415663692
EX_crn_e,0.0,-0.0
EX_acac_e,0.0,0.0
EX_acald_e,0.0,0.0
EX_lac__D_e,0.0,0.0
EX_lac__L_e,0.0,0.0
EX_crn__D_e,0.0,-0.0
EX_lcts_e,0.0,0.0
EX_acgal_e,0.0,0.0
EX_acgal1p_e,0.0,0.0
EX_acgam_e,0.0,0.0
EX_leu__L_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_acgam1p_e,0.0,0.0
EX_acmana_e,0.0,0.0
EX_acmum_e,0.0,-0.0
EX_lipa_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_lipa_cold_e,0.0,0.0
EX_acnam_e,0.0,0.0
EX_acolipa_e,0.0,0.0
EX_cu2_e,0.0,0.0
EX_acser_e,0.0,0.0
EX_ade_e,0.0,0.0
EX_adn_e,0.0,0.0
EX_adocbl_e,0.0,-0.0
EX_ag_e,0.0,-0.0
EX_lipoate_e,0.0,0.0
EX_lys__L_e,0.0,0.0
EX_lyx__L_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_agm_e,0.0,0.0
EX_akg_e,0.0,0.0
EX_cyan_e,0.0,0.0
EX_ala_B_e,0.0,0.0
EX_ala__D_e,0.0,0.0
EX_ala__L_e,0.0,-0.0
EX_alaala_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_alltn_e,0.0,0.0
EX_amp_e,0.0,0.0
EX_anhgm_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_mal__L_e,0.0,0.0
EX_malt_e,0.0,-0.0
EX_malthx_e,0.0,-0.0
EX_maltpt_e,0.0,-0.0
EX_malttr_e,0.0,-0.0
EX_maltttr_e,0.0,-0.0
EX_man_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_man6p_e,0.0,0.0
EX_manglyc_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_meoh_e,0.0,1.2599999982768523e-06
EX_met__D_e,0.0,-0.0
EX_arbt_e,0.0,-0.0
EX_arbtn_e,0.0,0.0
EX_arbtn_fe3_e,0.0,0.0
EX_met__L_e,0.0,0.0
EX_cys__L_e,0.0,0.0
EX_metsox_R__L_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_mg2_e,0.0,0.0
EX_mincyc_e,0.0,-0.0
EX_minohp_e,0.0,-0.0
EX_mmet_e,0.0,0.0
EX_arg__L_e,0.0,0.0
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,0.0,0.0
EX_aso3_e,0.0,-0.0
EX_asp__L_e,0.0,0.0
EX_btn_e,0.0,0.0
EX_but_e,0.0,0.0
EX_mn2_e,0.0,0.0
EX_mnl_e,0.0,0.0
